"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"6717440","1.5546875","1.5546875","1.5546875"
"6758400","1.28125","1.28125","1.28125"
"6799360","0.6484375","0.6484375","0.6484375"
"6840320","0.9609375","0.9609375","0.9609375"
"6881280","1.12109375","1.12109375","1.12109375"
"6922240","0.35546875","0.35546875","0.35546875"
"6963200","0.2890625","0.2890625","0.2890625"
"7004160","1.30859375","1.30859375","1.30859375"
"7045120","1.63671875","1.63671875","1.63671875"
"7086080","0.859375","0.859375","0.859375"
"7127040","1.47265625","1.47265625","1.47265625"
"7168000","0.4609375","0.4609375","0.4609375"
"7208960","1.72265625","1.72265625","1.72265625"
"7249920","1.57421875","1.57421875","1.57421875"
"7290880","1.28515625","1.28515625","1.28515625"
"7331840","0.45703125","0.45703125","0.45703125"
"7372800","0.4609375","0.4609375","0.4609375"
"7413760","0.81640625","0.81640625","0.81640625"
"7454720","0.37890625","0.37890625","0.37890625"
"7495680","0.26953125","0.26953125","0.26953125"
"7536640","1.1875","1.1875","1.1875"
"7577600","0.2265625","0.2265625","0.2265625"
"7618560","1.0390625","1.0390625","1.0390625"
"7659520","0.17578125","0.17578125","0.17578125"
"7700480","0.31640625","0.31640625","0.31640625"
"7741440","0.54296875","0.54296875","0.54296875"
"7782400","3.1796875","3.1796875","3.1796875"
"7823360","0.53515625","0.53515625","0.53515625"
"7864320","1.16015625","1.16015625","1.16015625"
"7905280","1.1328125","1.1328125","1.1328125"
"7946240","0.171875","0.171875","0.171875"
"7987200","1.33203125","1.33203125","1.33203125"
"8028160","0.4765625","0.4765625","0.4765625"
"8069120","0.046875","0.046875","0.046875"
"8110080","1.46875","1.46875","1.46875"
"8151040","0.63671875","0.63671875","0.63671875"
