"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"38912000","14.12109375","14.12109375","14.12109375"
"39168000","9.86328125","9.86328125","9.86328125"
"39424000","7.5078125","7.5078125","7.5078125"
"39680000","6.4140625","6.4140625","6.4140625"
"39936000","10.82421875","10.82421875","10.82421875"
"40192000","5.65234375","5.65234375","5.65234375"
"40448000","2.7734375","2.7734375","2.7734375"
"40704000","8.37109375","8.37109375","8.37109375"
"40960000","5.8046875","5.8046875","5.8046875"
"41216000","5.21484375","5.21484375","5.21484375"
"41472000","3.99609375","3.99609375","3.99609375"
"41728000","5.1640625","5.1640625","5.1640625"
"41984000","3.109375","3.109375","3.109375"
"42240000","4.6796875","4.6796875","4.6796875"
"42496000","14.69140625","14.69140625","14.69140625"
"42752000","9.46484375","9.46484375","9.46484375"
"43008000","20.36328125","20.36328125","20.36328125"
"43264000","13.09375","13.09375","13.09375"
"43520000","16.51953125","16.51953125","16.51953125"
"43776000","11.01953125","11.01953125","11.01953125"
"44032000","9.0625","9.0625","9.0625"
"44288000","13.21484375","13.21484375","13.21484375"
"44544000","11.05078125","11.05078125","11.05078125"
"44800000","5.55859375","5.55859375","5.55859375"
"45056000","10.8828125","10.8828125","10.8828125"
"45312000","10.28515625","10.28515625","10.28515625"
"45568000","7.33203125","7.33203125","7.33203125"
"45824000","6.63671875","6.63671875","6.63671875"
"46080000","7.10546875","7.10546875","7.10546875"
"46336000","3.21484375","3.21484375","3.21484375"
"46592000","5.3984375","5.3984375","5.3984375"
"46848000","8.578125","8.578125","8.578125"
"47104000","8.921875","8.921875","8.921875"
"47360000","5.5859375","5.5859375","5.5859375"
"47616000","5.93359375","5.93359375","5.93359375"
"47872000","5.734375","5.734375","5.734375"
"48128000","8.76953125","8.76953125","8.76953125"
"48384000","6.83984375","6.83984375","6.83984375"
"48640000","9.859375","9.859375","9.859375"
"48896000","6.52734375","6.52734375","6.52734375"
"49152000","11.59375","11.59375","11.59375"
"49408000","0.2890625","0.2890625","0.2890625"
"49664000","6.8984375","6.8984375","6.8984375"
"49920000","7.23828125","7.23828125","7.23828125"
"50176000","6.94921875","6.94921875","6.94921875"
"50432000","4.29296875","4.29296875","4.29296875"
"50688000","1.265625","1.265625","1.265625"
"50944000","3.3984375","3.3984375","3.3984375"
